Name,NACA 2412 Airfoil M=2.0% P=40.0% T=12.0%,,,,,,,,
Chord(mm),100,,,,,,,,
Radius(mm),0,,,,,,,,
Thickness(%),100,,,,,,,,
Origin(%),0,,,,,,,,
Pitch(deg),0,,,,,,,,
,,,,,,,,,
Airfoil surface,,,,,,,x,y,z
X(mm),Y(mm),,,,,,,,
100.0084,0.1257,,,,1,1,100.008,0.126,0.000
99.8557,0.1575,,,,1,2,99.856,0.158,0.000
99.3984,0.2524,,,,1,3,99.398,0.252,0.000
98.6392,0.4086,,,,1,4,98.639,0.409,0.000
97.5825,0.6231,,,,1,5,97.583,0.623,0.000
96.2343,0.8922,,,,1,6,96.234,0.892,0.000
94.6027,1.211,,,,1,7,94.603,1.211,0.000
92.6971,1.574,,,,1,8,92.697,1.574,0.000
90.5287,1.9752,,,,1,9,90.529,1.975,0.000
88.1104,2.4079,,,,1,10,88.110,2.408,0.000
85.4565,2.8653,,,,1,11,85.457,2.865,0.000
82.583,3.3404,,,,1,12,82.583,3.340,0.000
79.5069,3.826,,,,1,13,79.507,3.826,0.000
76.2469,4.3149,,,,1,14,76.247,4.315,0.000
72.8228,4.8,,,,1,15,72.823,4.800,0.000
69.2554,5.2741,,,,1,16,69.255,5.274,0.000
65.5665,5.7302,,,,1,17,65.567,5.730,0.000
61.7788,6.1615,,,,1,18,61.779,6.162,0.000
57.9155,6.5609,,,,1,19,57.916,6.561,0.000
54.0008,6.922,,,,1,20,54.001,6.922,0.000
50.0588,7.2381,,,,1,21,50.059,7.238,0.000
46.1143,7.5034,,,,1,22,46.114,7.503,0.000
42.1921,7.7122,,,,1,23,42.192,7.712,0.000
38.3032,7.8574,,,,1,24,38.303,7.857,0.000
34.468,7.9198,,,,1,25,34.468,7.920,0.000
30.7289,7.8941,,,,1,26,30.729,7.894,0.000
27.1106,7.7802,,,,1,27,27.111,7.780,0.000
23.6371,7.5794,,,,1,28,23.637,7.579,0.000
20.3313,7.2947,,,,1,29,20.331,7.295,0.000
17.2151,6.9309,,,,1,30,17.215,6.931,0.000
14.3088,6.4941,,,,1,31,14.309,6.494,0.000
11.6313,5.9918,,,,1,32,11.631,5.992,0.000
9.1996,5.4325,,,,1,33,9.200,5.433,0.000
7.0289,4.8257,,,,1,34,7.029,4.826,0.000
5.1324,4.1808,,,,1,35,5.132,4.181,0.000
3.5214,3.5076,,,,1,36,3.521,3.508,0.000
2.2051,2.8152,,,,1,37,2.205,2.815,0.000
1.1907,2.112,,,,1,38,1.191,2.112,0.000
0.4833,1.4049,,,,1,39,0.483,1.405,0.000
0.086,0.6997,,,,1,40,0.086,0.700,0.000
0,0,,,,1,41,0.000,0.000,0.000
